iteration=0 	 commit=a37d4836519517bdce6cb9d956092321eca3e73b 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=3796518809b03e347393e630fe91ab7a3dd0dcc9 	 equal=0 	 total=1 	 percentage=0.0
iteration=2 	 commit=8ca01083d6ed594296578c6b5911fcb3738b67e3 	 equal=0 	 total=2 	 percentage=0.0
iteration=3 	 commit=cd03aaf7bf0e0c748b8c6cb34a56b402b40d61d0 	 equal=1 	 total=3 	 percentage=33.33333333333333
iteration=4 	 commit=c4bd411c35290f9568da44a7faf7a09505db78db 	 equal=1 	 total=4 	 percentage=25.0
iteration=5 	 commit=2224c8ea7b901ba038fdeff13605a60563bd00d2 	 equal=1 	 total=5 	 percentage=20.0
iteration=6 	 commit=e2bb5e7512a48dcfe191065decac9cf78a68fd12 	 equal=2 	 total=6 	 percentage=33.33333333333333
iteration=7 	 commit=d6e13b2acd3afdb5f3aca458a6de5626079f2d2b 	 equal=3 	 total=7 	 percentage=42.857142857142854
iteration=8 	 commit=c2e2cd2ec5424b47104b6b15ce897af84256f5bf 	 equal=4 	 total=8 	 percentage=50.0
iteration=9 	 commit=c3f209178b43e327472e76562ec0ce1c3a3101bb 	 equal=5 	 total=9 	 percentage=55.55555555555556
iteration=10 	 commit=dbe3e0c43e549a1602286144d94b0666549b18e6 	 equal=6 	 total=10 	 percentage=60.0
iteration=11 	 commit=2f753e260c5e4106654afb4b09d70b7e0109d05e 	 equal=7 	 total=11 	 percentage=63.63636363636363
iteration=12 	 commit=f5d5f5ae0e25d8bb205cde036b270d5c06ee4063 	 equal=8 	 total=12 	 percentage=66.66666666666666
iteration=13 	 commit=3676fd324a8920930f1ee66248e3119d30c7c9a2 	 equal=9 	 total=13 	 percentage=69.23076923076923
iteration=14 	 commit=28c0f8895e4ac270b56b5c7e8089dd2417bc4e3c 	 equal=10 	 total=14 	 percentage=71.42857142857143
iteration=15 	 commit=87378bc21d642f109f9d09431302fd75071a82e0 	 equal=11 	 total=15 	 percentage=73.33333333333333
iteration=16 	 commit=6c6f7d105abaf413cf78e2fe4ea0c0c427f0d931 	 equal=12 	 total=16 	 percentage=75.0
iteration=17 	 commit=6842c58adc2c882242a39b46fc45c50b32e1921f 	 equal=13 	 total=17 	 percentage=76.47058823529412
iteration=18 	 commit=a6fc80300fc9eb49beca243612d018787ec293d4 	 equal=14 	 total=18 	 percentage=77.77777777777779
iteration=19 	 commit=5e8b45c436c1c1bef18b3a8e18b4f0b980e946fc 	 equal=15 	 total=19 	 percentage=78.94736842105263
iteration=20 	 commit=6dd99ca9c85a59cc8848553177b84abea228f82f 	 equal=16 	 total=20 	 percentage=80.0
iteration=21 	 commit=52ee16764409ad3eb3513434b4faa19c45a16079 	 equal=17 	 total=21 	 percentage=80.95238095238095
