nohup: ignoring input
iteration=0 	 commit=77acc6d3623b06c75461a8bfdeff0066278c2eea 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=59f1622c422ddeb8ba11874018158f28de8cc3b3 	 equal=1 	 total=1 	 percentage=100.0
iteration=2 	 commit=f44c8dbe1d30988801104c95589f1eecae340134 	 equal=2 	 total=2 	 percentage=100.0
iteration=3 	 commit=ca2008903f66f856de4cd86e83a387b56260d5b7 	 equal=3 	 total=3 	 percentage=100.0
iteration=4 	 commit=47383a6cc2a7e29e2ef30f855a238b95dec65ed8 	 equal=4 	 total=4 	 percentage=100.0
iteration=5 	 commit=759592e4df4f9cac5fbfc6892209c6d1cd00edc1 	 equal=5 	 total=5 	 percentage=100.0
iteration=6 	 commit=0c10913b9260a263107244ca0ce85a84d2a3d3cc 	 equal=6 	 total=6 	 percentage=100.0
iteration=7 	 commit=739bc8cdac8d56c2c5f097a50cbf20fa941ff59d 	 equal=7 	 total=7 	 percentage=100.0
iteration=8 	 commit=7e2db6e8ef160ef3aa9f2df4e5205cd3e9cc270e 	 equal=7 	 total=8 	 percentage=87.5
iteration=9 	 commit=c7b69d7589d70de3765d0aab15dad8d6b307d3c7 	 equal=8 	 total=9 	 percentage=88.88888888888889
iteration=10 	 commit=b1307c77551b82f89653868c037c5eea5e89b316 	 equal=9 	 total=10 	 percentage=90.0
iteration=11 	 commit=404bf9af791cb60813af382ec8090423d4a0ad86 	 equal=10 	 total=11 	 percentage=90.9090909090909
iteration=12 	 commit=f1495b4bcc4f7f0fedb10119e6b5b5b2f1946d4b 	 equal=10 	 total=12 	 percentage=83.33333333333334
iteration=13 	 commit=1c407fe8234c242588c778355c2e8f74c41f0d58 	 equal=10 	 total=13 	 percentage=76.92307692307693
iteration=14 	 commit=4b64fd767a1ecdd33291551f91146745a853eeb8 	 equal=11 	 total=14 	 percentage=78.57142857142857
iteration=15 	 commit=aaac071f6083d7e8c5fa47fa7aaa8a6a03181cf0 	 equal=12 	 total=15 	 percentage=80.0
iteration=16 	 commit=e09e5dd043fcb32f380a0bc2a66390378058d254 	 equal=13 	 total=16 	 percentage=81.25
