nohup: ignoring input
iteration=0 	 commit=857ef82edf81e31565a08c9303bc27069a27e75e 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=f380ae524390c188de65f9dd8de3336b7ff4757a 	 equal=1 	 total=1 	 percentage=100.0
iteration=2 	 commit=23b51990e33d6e7e210078d4ace1e5ddf7e531be 	 equal=2 	 total=2 	 percentage=100.0
iteration=3 	 commit=77417b8ea0d0c1d0f2bdafd376ac927de76fb1ef 	 equal=2 	 total=3 	 percentage=66.66666666666666
iteration=4 	 commit=eed9efec4e5de22f5375dc6dc13ed88074168bdf 	 equal=2 	 total=4 	 percentage=50.0
iteration=5 	 commit=b5c16f8bfc9d3f484509e0ad8e1febb2ac94c89c 	 equal=3 	 total=5 	 percentage=60.0
iteration=6 	 commit=89b8c133e72b9a8f36d63a59b1bc347a305f8cd8 	 equal=4 	 total=6 	 percentage=66.66666666666666
iteration=7 	 commit=54126d5c59653e744ee8af81ba61fd910ce4d295 	 equal=5 	 total=7 	 percentage=71.42857142857143
iteration=8 	 commit=660ce585975b3bdfbd39cd9fe28d4293da05700d 	 equal=5 	 total=8 	 percentage=62.5
iteration=9 	 commit=9f7134c3fc26d8c85a7452890c29b71f010b009a 	 equal=5 	 total=9 	 percentage=55.55555555555556
iteration=10 	 commit=145361aaacc916a4c0be9d107ee476e13c66a393 	 equal=5 	 total=10 	 percentage=50.0
iteration=11 	 commit=58649f19cb71780d21b01d0fca7975c57416cb9f 	 equal=5 	 total=11 	 percentage=45.45454545454545
iteration=12 	 commit=14be73c8a32493214a4b8a6ee751e425ad36d1ca 	 equal=5 	 total=12 	 percentage=41.66666666666667
iteration=13 	 commit=87cd2dc07dd6e73f154c19e42bb0c415d3b1b14e 	 equal=5 	 total=13 	 percentage=38.46153846153847
iteration=14 	 commit=2d306c4b15f92ba806f2639c8be128d7104102f4 	 equal=5 	 total=14 	 percentage=35.714285714285715
iteration=15 	 commit=5aaf6e889c9625def781f273774665d12626b487 	 equal=5 	 total=15 	 percentage=33.33333333333333
iteration=16 	 commit=c5483289049d062be9ee975833a38b4e8575ee43 	 equal=5 	 total=16 	 percentage=31.25
iteration=17 	 commit=11629b1c1a747693d7f6534c6c370c5d7edd7a84 	 equal=5 	 total=17 	 percentage=29.411764705882355
iteration=18 	 commit=774922da919d19b313f1e8d68172320e6ea69fac 	 equal=6 	 total=18 	 percentage=33.33333333333333
iteration=19 	 commit=7da2ea45b9326276c9723dcb5e8f3131e175ad25 	 equal=7 	 total=19 	 percentage=36.84210526315789
iteration=20 	 commit=a315efe3b29b5d2c8756c16ebfdba2810045d9ff 	 equal=8 	 total=20 	 percentage=40.0
iteration=21 	 commit=6155c6629d5bafca91558067da363a3f6b4e5e55 	 equal=9 	 total=21 	 percentage=42.857142857142854
iteration=22 	 commit=d40ac082efcbb83c189c8121eeac85ba7ce0d0b7 	 equal=9 	 total=22 	 percentage=40.909090909090914
iteration=23 	 commit=d2ac910a534ea4d29f37808ac1f28c16cd57a33b 	 equal=9 	 total=23 	 percentage=39.130434782608695
iteration=24 	 commit=a1577bf965564d1f5752456b2d85a49f9e31e659 	 equal=10 	 total=24 	 percentage=41.66666666666667
iteration=25 	 commit=e486c762539fa74c804e127a960e71a3d2b624fd 	 equal=11 	 total=25 	 percentage=44.0
