nohup: ignoring input
iteration=0 	 commit=90771bcd562836b6ce290c8b0091164ffb3a565a 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=99b10edde9a0fc28cc0e7b7757aa18ac4c8c225f 	 equal=2 	 total=2 	 percentage=100.0
iteration=2 	 commit=67b755b3341a90135ea72e5da0a7078c8a8c40ae 	 equal=4 	 total=4 	 percentage=100.0
iteration=3 	 commit=7030e8acbcbfada4e649da53b1b5c72702c61e88 	 equal=6 	 total=6 	 percentage=100.0
iteration=4 	 commit=eaad7b257f3db3f5f1c0527cb7d74086c6907910 	 equal=8 	 total=8 	 percentage=100.0
iteration=5 	 commit=4429f75fab3185158237ba9a12b8250a83517710 	 equal=8 	 total=10 	 percentage=80.0
iteration=6 	 commit=d780c9db3fb365065ee920eef2db74d9ac115838 	 equal=8 	 total=12 	 percentage=66.66666666666666
iteration=7 	 commit=00a987988c38d7907952a41d7886638d8219b56f 	 equal=10 	 total=14 	 percentage=71.42857142857143
iteration=8 	 commit=183102bc2610eb589f808b889e043fef7734d128 	 equal=12 	 total=16 	 percentage=75.0
iteration=9 	 commit=d438fab328c0e6180f27610df532340a73694023 	 equal=12 	 total=18 	 percentage=66.66666666666666
iteration=10 	 commit=6aae33f7584e2378bdda215b28a3156173e22d07 	 equal=14 	 total=20 	 percentage=70.0
iteration=11 	 commit=1a926533b8aae2028ac35bd676feca1f9fca5a61 	 equal=16 	 total=22 	 percentage=72.72727272727273
iteration=12 	 commit=31374a7bf15a860f679a4b7dcac885e9905076ce 	 equal=16 	 total=24 	 percentage=66.66666666666666
iteration=13 	 commit=981e43ecae83935625c86c9118c0778c942c7048 	 equal=18 	 total=26 	 percentage=69.23076923076923
iteration=14 	 commit=97a9e1a677de55620076a7e092f258b286eea8c6 	 equal=18 	 total=28 	 percentage=64.28571428571429
iteration=15 	 commit=7bad03e938c651aae4d1cf3bc5ec76406531513a 	 equal=20 	 total=30 	 percentage=66.66666666666666
iteration=16 	 commit=48e2696e9b3266b33d2309d0946d5e207e095677 	 equal=20 	 total=32 	 percentage=62.5
iteration=17 	 commit=1db1efeb204549fe3f5d982ea9807da729b4f27c 	 equal=20 	 total=34 	 percentage=58.82352941176471
iteration=18 	 commit=58a898cb4459055bb488ca815c23b880c242a27d 	 equal=21 	 total=36 	 percentage=58.333333333333336
iteration=19 	 commit=b68fc85f398227fe59798e0eb4168effeb9e6bf4 	 equal=21 	 total=38 	 percentage=55.26315789473685
iteration=20 	 commit=de144fd228e4be8aa484c3caf3d814b6fa88c6d9 	 equal=21 	 total=40 	 percentage=52.5
iteration=21 	 commit=6150fd4349fe38ad156fa96aaca80acd5a08cefc 	 equal=21 	 total=42 	 percentage=50.0
iteration=22 	 commit=be9c1f7785dde43436be650c121a7b6377c04fc8 	 equal=23 	 total=44 	 percentage=52.27272727272727
iteration=23 	 commit=80ff5e2c39614fa8d2ef0633bf0d8ea0454ad074 	 equal=25 	 total=46 	 percentage=54.347826086956516
iteration=24 	 commit=c4f9b53aa55afbd1311eba8c126c14e8b5d1820a 	 equal=27 	 total=48 	 percentage=56.25
iteration=25 	 commit=47be9914ddba71eef9617cbb6656194228846228 	 equal=27 	 total=50 	 percentage=54.0
